"","day","statename","PriceD","VolumeD","PriceR","VolumeR","state"
"1",2006-11-12,"Alabama",40,0,40,0,"AL"
"2",2006-11-12,"Alaska",40,0,40,0,"AK"
"3",2006-11-12,"Arizona",40,0,40,0,"AZ"
"4",2006-11-12,"Arkansas",40,0,40,0,"AR"
"5",2006-11-12,"California",40,0,40,0,"CA"
"6",2006-11-12,"Colorado",40,0,40,0,"CO"
"7",2006-11-12,"Connecticut",40,0,40,0,"CT"
"8",2006-11-12,"Delaware",40,0,40,0,"DE"
"9",2006-11-12,"District of Columbia",33.3,0,33.3,0,"DC"
"10",2006-11-12,"Georgia",40,0,40,0,"GA"
"11",2006-11-12,"Hawaii",40,0,40,0,"HI"
"12",2006-11-12,"Idaho",40,0,40,0,"ID"
"13",2006-11-12,"Illinois",40,0,40,0,"IL"
"14",2006-11-12,"Indiana",40,0,40,0,"IN"
"15",2006-11-12,"Iowa",40,0,40,0,"IA"
"16",2006-11-12,"Kansas",40,0,40,0,"KS"
"17",2006-11-12,"Kentucky",40,0,40,0,"KY"
"18",2006-11-12,"Louisiana",40,0,40,0,"LA"
"19",2006-11-12,"Maine",40,0,40,0,"ME"
"20",2006-11-12,"Maryland",40,0,40,0,"MD"
"21",2006-11-12,"Massachusetts",40,0,40,0,"MA"
"22",2006-11-12,"Michigan",40,0,40,0,"MI"
"23",2006-11-12,"Minnesota",40,0,40,0,"MN"
"24",2006-11-12,"Mississippi",40,0,40,0,"MS"
"25",2006-11-12,"Missouri",40,0,40,0,"MO"
"26",2006-11-12,"Montana",40,0,40,0,"MT"
"27",2006-11-12,"Nebraska",40,0,40,0,"NE"
"28",2006-11-12,"Nevada",40,0,40,0,"NV"
"29",2006-11-12,"New Hampshire",40,0,40,0,"NH"
"30",2006-11-12,"New Jersey",40,0,40,0,"NJ"
"31",2006-11-12,"New Mexico",40,0,40,0,"NM"
"32",2006-11-12,"New York",40,1,40,0,"NY"
"33",2006-11-12,"North Carolina",40,0,40,0,"NC"
"34",2006-11-12,"North Dakota",40,0,40,0,"ND"
"35",2006-11-12,"Ohio",40,0,40,0,"OH"
"36",2006-11-12,"Oklahoma",40,0,40,0,"OK"
"37",2006-11-12,"Oregon",40,0,40,0,"OR"
"38",2006-11-12,"Pennsylvania",40,0,40,0,"PA"
"39",2006-11-12,"Rhode Island",40,0,40,0,"RI"
"40",2006-11-12,"South Carolina",40,0,40,0,"SC"
"41",2006-11-12,"South Dakota",40,0,40,0,"SD"
"42",2006-11-12,"Tennessee",40,0,40,0,"TN"
"43",2006-11-12,"Texas",40,0,40,5,"TX"
"44",2006-11-12,"Utah",40,0,40,0,"UT"
"45",2006-11-12,"Vermont",40,0,40,0,"VT"
"46",2006-11-12,"Virginia",40,0,40,0,"VA"
"47",2006-11-12,"Washington",40,0,40,0,"WA"
"48",2006-11-12,"West Virginia",40,0,40,0,"WV"
"49",2006-11-12,"Wisconsin",40,0,40,0,"WI"
"50",2006-11-12,"Wyoming",40,0,40,0,"WY"
"51",2006-11-13,"Alabama",40,0,40,0,"AL"
"52",2006-11-13,"Alaska",40,0,40,0,"AK"
"53",2006-11-13,"Arizona",40,0,40,0,"AZ"
"54",2006-11-13,"Arkansas",40,0,40,0,"AR"
"55",2006-11-13,"California",40,0,40,0,"CA"
"56",2006-11-13,"Colorado",40,0,40,0,"CO"
"57",2006-11-13,"Connecticut",40,0,40,0,"CT"
"58",2006-11-13,"Delaware",40,0,40,0,"DE"
"59",2006-11-13,"District of Columbia",33.3,0,33.3,0,"DC"
"60",2006-11-13,"Florida",45,0,45,0,"FL"
"61",2006-11-13,"Georgia",40,0,40,0,"GA"
"62",2006-11-13,"Hawaii",40,0,40,0,"HI"
"63",2006-11-13,"Idaho",40,0,40,0,"ID"
"64",2006-11-13,"Illinois",40,0,40,0,"IL"
"65",2006-11-13,"Indiana",40,0,40,0,"IN"
"66",2006-11-13,"Iowa",40,0,40,0,"IA"
"67",2006-11-13,"Kansas",40,0,40,0,"KS"
"68",2006-11-13,"Kentucky",40,0,40,0,"KY"
"69",2006-11-13,"Louisiana",40,0,40,0,"LA"
"70",2006-11-13,"Maine",40,0,40,0,"ME"
"71",2006-11-13,"Maryland",40,0,40,0,"MD"
"72",2006-11-13,"Massachusetts",40,0,40,0,"MA"
"73",2006-11-13,"Michigan",40,0,40,0,"MI"
"74",2006-11-13,"Minnesota",40,0,40,2,"MN"
"75",2006-11-13,"Mississippi",40,0,40,0,"MS"
"76",2006-11-13,"Missouri",40,0,40,0,"MO"
"77",2006-11-13,"Montana",40,0,40,0,"MT"
"78",2006-11-13,"Nebraska",40,0,40,0,"NE"
"79",2006-11-13,"Nevada",40,0,40,0,"NV"
"80",2006-11-13,"New Hampshire",40,0,40,0,"NH"
"81",2006-11-13,"New Jersey",40,0,40,0,"NJ"
"82",2006-11-13,"New Mexico",40,0,40,0,"NM"
"83",2006-11-13,"New York",40,1,40,0,"NY"
"84",2006-11-13,"North Carolina",40,0,40,0,"NC"
"85",2006-11-13,"North Dakota",40,0,40,0,"ND"
"86",2006-11-13,"Ohio",40,5,40,0,"OH"
"87",2006-11-13,"Oklahoma",40,0,40,0,"OK"
"88",2006-11-13,"Oregon",40,0,40,0,"OR"
"89",2006-11-13,"Pennsylvania",40,0,40,0,"PA"
"90",2006-11-13,"Rhode Island",40,0,40,0,"RI"
"91",2006-11-13,"South Carolina",40,0,40,0,"SC"
"92",2006-11-13,"South Dakota",40,0,40,0,"SD"
"93",2006-11-13,"Tennessee",40,0,40,0,"TN"
"94",2006-11-13,"Texas",40,0,40,0,"TX"
"95",2006-11-13,"Utah",40,0,40,0,"UT"
"96",2006-11-13,"Vermont",40,0,40,0,"VT"
"97",2006-11-13,"Virginia",40,0,40,0,"VA"
"98",2006-11-13,"Washington",40,0,40,0,"WA"
"99",2006-11-13,"West Virginia",40,0,40,0,"WV"
"100",2006-11-13,"Wisconsin",40,0,40,0,"WI"
"101",2006-11-13,"Wyoming",40,0,40,0,"WY"
"102",2006-11-14,"Alabama",40,0,40,0,"AL"
"103",2006-11-14,"Alaska",40,0,40,0,"AK"
"104",2006-11-14,"Arizona",40,0,40,0,"AZ"
"105",2006-11-14,"Arkansas",40,0,40,0,"AR"
"106",2006-11-14,"California",40,0,40,0,"CA"
"107",2006-11-14,"Colorado",40,0,40,0,"CO"
"108",2006-11-14,"Connecticut",40,0,40,0,"CT"
"109",2006-11-14,"Delaware",40,0,40,0,"DE"
"110",2006-11-14,"District of Columbia",33.3,0,33.3,0,"DC"
"111",2006-11-14,"Florida",45,0,45,0,"FL"
"112",2006-11-14,"Georgia",40,0,40,0,"GA"
"113",2006-11-14,"Hawaii",40,0,40,0,"HI"
"114",2006-11-14,"Idaho",40,0,40,0,"ID"
"115",2006-11-14,"Illinois",40,0,40,0,"IL"
"116",2006-11-14,"Indiana",40,0,40,0,"IN"
"117",2006-11-14,"Iowa",40,0,40,0,"IA"
"118",2006-11-14,"Kansas",40,0,40,0,"KS"
"119",2006-11-14,"Kentucky",40,0,40,0,"KY"
"120",2006-11-14,"Louisiana",40,0,40,0,"LA"
"121",2006-11-14,"Maine",40,0,40,0,"ME"
"122",2006-11-14,"Maryland",40,0,40,0,"MD"
"123",2006-11-14,"Massachusetts",40,0,40,0,"MA"
"124",2006-11-14,"Michigan",40,0,40,0,"MI"
"125",2006-11-14,"Minnesota",40,0,40,0,"MN"
"126",2006-11-14,"Mississippi",40,0,40,0,"MS"
"127",2006-11-14,"Missouri",40,0,40,0,"MO"
"128",2006-11-14,"Montana",40,0,40,0,"MT"
"129",2006-11-14,"Nebraska",40,0,40,0,"NE"
"130",2006-11-14,"Nevada",40,0,40,0,"NV"
"131",2006-11-14,"New Hampshire",40,0,40,0,"NH"
"132",2006-11-14,"New Jersey",40,5,40,0,"NJ"
"133",2006-11-14,"New Mexico",40,0,40,0,"NM"
"134",2006-11-14,"New York",40,0,40,0,"NY"
"135",2006-11-14,"North Carolina",40,0,40,0,"NC"
"136",2006-11-14,"North Dakota",40,0,40,0,"ND"
"137",2006-11-14,"Ohio",40,0,40,0,"OH"
"138",2006-11-14,"Oklahoma",40,0,40,0,"OK"
"139",2006-11-14,"Oregon",40,0,40,0,"OR"
"140",2006-11-14,"Pennsylvania",40,0,40,0,"PA"
"141",2006-11-14,"Rhode Island",40,0,40,0,"RI"
"142",2006-11-14,"South Carolina",40,0,40,0,"SC"
"143",2006-11-14,"South Dakota",40,0,40,0,"SD"
"144",2006-11-14,"Tennessee",40,0,40,0,"TN"
"145",2006-11-14,"Texas",40,0,40,0,"TX"
"146",2006-11-14,"Utah",40,0,40,0,"UT"
"147",2006-11-14,"Vermont",40,0,40,0,"VT"
"148",2006-11-14,"Virginia",40,0,40,0,"VA"
"149",2006-11-14,"Washington",40,0,40,0,"WA"
"150",2006-11-14,"West Virginia",40,0,40,0,"WV"
"151",2006-11-14,"Wisconsin",40,0,40,0,"WI"
"152",2006-11-14,"Wyoming",40,0,40,0,"WY"
"153",2006-11-15,"Alabama",40,0,40,0,"AL"
"154",2006-11-15,"Alaska",40,0,40,0,"AK"
"155",2006-11-15,"Arizona",40,10,40,10,"AZ"
"156",2006-11-15,"Arkansas",40,0,40,0,"AR"
"157",2006-11-15,"California",40,10,40,0,"CA"
"158",2006-11-15,"Colorado",35,5,40,0,"CO"
"159",2006-11-15,"Connecticut",40,10,40,0,"CT"
"160",2006-11-15,"Delaware",40,0,40,0,"DE"
"161",2006-11-15,"District of Columbia",33.3,0,33.3,0,"DC"
"162",2006-11-15,"Florida",45,0,45,0,"FL"
"163",2006-11-15,"Georgia",40,0,40,0,"GA"
"164",2006-11-15,"Hawaii",40,0,40,0,"HI"
"165",2006-11-15,"Idaho",40,0,40,0,"ID"
"166",2006-11-15,"Illinois",40,0,40,0,"IL"
"167",2006-11-15,"Indiana",40,0,40,0,"IN"
"168",2006-11-15,"Iowa",40,0,40,0,"IA"
"169",2006-11-15,"Kansas",40,0,40,0,"KS"
"170",2006-11-15,"Kentucky",40,0,40,0,"KY"
"171",2006-11-15,"Louisiana",40,0,40,0,"LA"
"172",2006-11-15,"Maine",40,0,40,0,"ME"
"173",2006-11-15,"Maryland",40,0,40,0,"MD"
"174",2006-11-15,"Massachusetts",40,0,40,0,"MA"
"175",2006-11-15,"Michigan",40,0,40,0,"MI"
"176",2006-11-15,"Minnesota",40,0,40,0,"MN"
"177",2006-11-15,"Mississippi",40,0,40,0,"MS"
"178",2006-11-15,"Missouri",40,10,55,5,"MO"
"179",2006-11-15,"Montana",40,0,40,0,"MT"
"180",2006-11-15,"Nebraska",40,0,40,0,"NE"
"181",2006-11-15,"Nevada",30,6,40,0,"NV"
"182",2006-11-15,"New Hampshire",40,0,40,0,"NH"
"183",2006-11-15,"New Jersey",40,5,40,0,"NJ"
"184",2006-11-15,"New Mexico",60,10,40,0,"NM"
"185",2006-11-15,"New York",85,1,40,0,"NY"
"186",2006-11-15,"North Carolina",40,0,40,0,"NC"
"187",2006-11-15,"North Dakota",40,0,40,0,"ND"
"188",2006-11-15,"Ohio",40,0,40,0,"OH"
"189",2006-11-15,"Oklahoma",10,5,40,0,"OK"
"190",2006-11-15,"Oregon",40,0,25,7,"OR"
"191",2006-11-15,"Pennsylvania",60,10,25,5,"PA"
"192",2006-11-15,"Rhode Island",40,0,40,0,"RI"
"193",2006-11-15,"South Carolina",40,0,40,0,"SC"
"194",2006-11-15,"South Dakota",40,0,40,0,"SD"
"195",2006-11-15,"Tennessee",40,0,40,0,"TN"
"196",2006-11-15,"Texas",40,0,40,0,"TX"
"197",2006-11-15,"Utah",40,0,40,0,"UT"
"198",2006-11-15,"Vermont",40,0,40,0,"VT"
"199",2006-11-15,"Virginia",40,0,70,5,"VA"
"200",2006-11-15,"Washington",40,0,40,0,"WA"
"201",2006-11-15,"West Virginia",40,0,40,0,"WV"
"202",2006-11-15,"Wisconsin",40,0,40,0,"WI"
"203",2006-11-15,"Wyoming",40,0,40,0,"WY"
"204",2006-11-16,"Alabama",40,0,40,0,"AL"
"205",2006-11-16,"Alaska",40,0,40,0,"AK"
"206",2006-11-16,"Arizona",40,0,40,0,"AZ"
"207",2006-11-16,"Arkansas",40,0,40,0,"AR"
"208",2006-11-16,"California",40,0,40,0,"CA"
"209",2006-11-16,"Colorado",35,0,40,5,"CO"
"210",2006-11-16,"Connecticut",40,0,40,0,"CT"
"211",2006-11-16,"Delaware",40,0,40,0,"DE"
"212",2006-11-16,"District of Columbia",33.3,0,33.3,0,"DC"
"213",2006-11-16,"Florida",45,0,45,0,"FL"
"214",2006-11-16,"Georgia",40,0,40,0,"GA"
"215",2006-11-16,"Hawaii",40,0,40,0,"HI"
"216",2006-11-16,"Idaho",40,0,40,0,"ID"
"217",2006-11-16,"Illinois",40,0,40,0,"IL"
"218",2006-11-16,"Indiana",40,0,40,0,"IN"
"219",2006-11-16,"Iowa",40,0,40,0,"IA"
"220",2006-11-16,"Kansas",40,0,40,0,"KS"
"221",2006-11-16,"Kentucky",40,0,40,0,"KY"
"222",2006-11-16,"Louisiana",40,0,40,0,"LA"
"223",2006-11-16,"Maine",40,0,40,0,"ME"
"224",2006-11-16,"Maryland",40,0,40,10,"MD"
"225",2006-11-16,"Massachusetts",40,0,40,0,"MA"
"226",2006-11-16,"Michigan",40,0,40,0,"MI"
"227",2006-11-16,"Minnesota",40,0,40,0,"MN"
"228",2006-11-16,"Mississippi",40,0,40,0,"MS"
"229",2006-11-16,"Missouri",40,0,55,5,"MO"
"230",2006-11-16,"Montana",40,0,40,0,"MT"
"231",2006-11-16,"Nebraska",40,0,40,0,"NE"
"232",2006-11-16,"Nevada",30,0,40,5,"NV"
"233",2006-11-16,"New Hampshire",40,0,40,0,"NH"
"234",2006-11-16,"New Jersey",40,5,40,0,"NJ"
"235",2006-11-16,"New Mexico",60,0,40,0,"NM"
"236",2006-11-16,"New York",85,0,40,0,"NY"
"237",2006-11-16,"North Carolina",40,0,40,0,"NC"
"238",2006-11-16,"North Dakota",40,0,40,0,"ND"
"239",2006-11-16,"Ohio",40,0,40,0,"OH"
"240",2006-11-16,"Oklahoma",10,0,40,0,"OK"
"241",2006-11-16,"Oregon",40,0,25,0,"OR"
"242",2006-11-16,"Pennsylvania",60,0,25,0,"PA"
"243",2006-11-16,"Rhode Island",40,0,40,0,"RI"
"244",2006-11-16,"South Carolina",40,0,40,0,"SC"
"245",2006-11-16,"South Dakota",40,0,40,0,"SD"
"246",2006-11-16,"Tennessee",40,5,40,0,"TN"
"247",2006-11-16,"Texas",40,0,40,0,"TX"
"248",2006-11-16,"Utah",40,0,40,0,"UT"
"249",2006-11-16,"Vermont",40,0,40,0,"VT"
"250",2006-11-16,"Virginia",40,0,70,0,"VA"
"251",2006-11-16,"Washington",40,0,40,0,"WA"
"252",2006-11-16,"West Virginia",40,0,40,0,"WV"
"253",2006-11-16,"Wisconsin",40,0,40,0,"WI"
"254",2006-11-16,"Wyoming",40,0,40,0,"WY"
"255",2006-11-17,"Alabama",40,0,40,0,"AL"
"256",2006-11-17,"Alaska",40,0,40,0,"AK"
"257",2006-11-17,"Arizona",40,0,40,0,"AZ"
"258",2006-11-17,"Arkansas",40,0,40,0,"AR"
